uuid,Keywords,label
0,cardiac troponins; cardiovascular disease; tobacco,1
110,cardiac troponins; cardiovascular disease; tobacco,0
111,cardiac troponins; cardiovascular disease; tobacco,0
112,cardiac troponins; cardiovascular disease; tobacco,0
113,cardiac troponins; cardiovascular disease; tobacco,1
114,cardiac troponins; cardiovascular disease; tobacco,1
115,cardiac troponins; cardiovascular disease; tobacco,0
116,cardiac troponins; cardiovascular disease; tobacco,0
117,cardiac troponins; cardiovascular disease; tobacco,1
118,cardiac troponins; cardiovascular disease; tobacco,0
119,cardiac troponins; cardiovascular disease; tobacco,1
120,cardiac troponins; cardiovascular disease; tobacco,1
121,cardiac troponins; cardiovascular disease; tobacco,0
122,cardiac troponins; cardiovascular disease; tobacco,1
123,cardiac troponins; cardiovascular disease; tobacco,1
124,cardiac troponins; cardiovascular disease; tobacco,0
125,cardiac troponins; cardiovascular disease; tobacco,1
126,cardiac troponins; cardiovascular disease; tobacco,0
127,cardiac troponins; cardiovascular disease; tobacco,1
128,cardiac troponins; cardiovascular disease; tobacco,1
129,cardiac troponins; cardiovascular disease; tobacco,0
130,cardiac troponins; cardiovascular disease; tobacco,0
131,cardiac troponins; cardiovascular disease; tobacco,1
132,cardiac troponins; cardiovascular disease; tobacco,1
133,cardiac troponins; cardiovascular disease; tobacco,0
134,cardiac troponins; cardiovascular disease; tobacco,1
135,cardiac troponins; cardiovascular disease; tobacco,1
136,cardiac troponins; cardiovascular disease; tobacco,0
137,cardiac troponins; cardiovascular disease; tobacco,1
138,cardiac troponins; cardiovascular disease; tobacco,1
139,cardiac troponins; cardiovascular disease; tobacco,1
140,cardiac troponins; cardiovascular disease; tobacco,1
141,cardiac troponins; cardiovascular disease; tobacco,0
142,cardiac troponins; cardiovascular disease; tobacco,0
143,cardiac troponins; cardiovascular disease; tobacco,0
144,cardiac troponins; cardiovascular disease; tobacco,0
145,cardiac troponins; cardiovascular disease; tobacco,1
146,cardiac troponins; cardiovascular disease; tobacco,0
147,cardiac troponins; cardiovascular disease; tobacco,1
148,cardiac troponins; cardiovascular disease; tobacco,0
149,cardiac troponins; cardiovascular disease; tobacco,0
150,cardiac troponins; cardiovascular disease; tobacco,0
151,cardiac troponins; cardiovascular disease; tobacco,0
152,cardiac troponins; cardiovascular disease; tobacco,0
153,cardiac troponins; cardiovascular disease; tobacco,1
154,cardiac troponins; cardiovascular disease; tobacco,1
155,cardiac troponins; cardiovascular disease; tobacco,0
156,cardiac troponins; cardiovascular disease; tobacco,1
157,cardiac troponins; cardiovascular disease; tobacco,0
158,cardiac troponins; cardiovascular disease; tobacco,1
159,cardiac troponins; cardiovascular disease; tobacco,0
160,cardiac troponins; cardiovascular disease; tobacco,1
161,cardiac troponins; cardiovascular disease; tobacco,1
162,cardiac troponins; cardiovascular disease; tobacco,1
163,cardiac troponins; cardiovascular disease; tobacco,0
164,cardiac troponins; cardiovascular disease; tobacco,1
165,cardiac troponins; cardiovascular disease; tobacco,0
166,cardiac troponins; cardiovascular disease; tobacco,0
167,cardiac troponins; cardiovascular disease; tobacco,0
168,cardiac troponins; cardiovascular disease; tobacco,1
169,cardiac troponins; cardiovascular disease; tobacco,1
170,cardiac troponins; cardiovascular disease; tobacco,1
171,cardiac troponins; cardiovascular disease; tobacco,1
172,cardiac troponins; cardiovascular disease; tobacco,0
173,cardiac troponins; cardiovascular disease; tobacco,0
174,cardiac troponins; cardiovascular disease; tobacco,1
175,cardiac troponins; cardiovascular disease; tobacco,0
176,cardiac troponins; cardiovascular disease; tobacco,1
177,cardiac troponins; cardiovascular disease; tobacco,0
178,cardiac troponins; cardiovascular disease; tobacco,1
179,cardiac troponins; cardiovascular disease; tobacco,0
180,cardiac troponins; cardiovascular disease; tobacco,1
181,cardiac troponins; cardiovascular disease; tobacco,0
182,cardiac troponins; cardiovascular disease; tobacco,0
183,cardiac troponins; cardiovascular disease; tobacco,1
184,cardiac troponins; cardiovascular disease; tobacco,1
185,cardiac troponins; cardiovascular disease; tobacco,0
186,cardiac troponins; cardiovascular disease; tobacco,0
187,cardiac troponins; cardiovascular disease; tobacco,1
188,cardiac troponins; cardiovascular disease; tobacco,1
189,cardiac troponins; cardiovascular disease; tobacco,1
190,cardiac troponins; cardiovascular disease; tobacco,0
191,cardiac troponins; cardiovascular disease; tobacco,1
192,cardiac troponins; cardiovascular disease; tobacco,1
193,cardiac troponins; cardiovascular disease; tobacco,1
194,cardiac troponins; cardiovascular disease; tobacco,0
195,cardiac troponins; cardiovascular disease; tobacco,0
196,cardiac troponins; cardiovascular disease; tobacco,0
197,cardiac troponins; cardiovascular disease; tobacco,1
198,cardiac troponins; cardiovascular disease; tobacco,0
199,cardiac troponins; cardiovascular disease; tobacco,0
200,cardiac troponins; cardiovascular disease; tobacco,1
201,cardiac troponins; cardiovascular disease; tobacco,0
202,cardiac troponins; cardiovascular disease; tobacco,0
203,cardiac troponins; cardiovascular disease; tobacco,1
204,cardiac troponins; cardiovascular disease; tobacco,1
205,cardiac troponins; cardiovascular disease; tobacco,1
206,cardiac troponins; cardiovascular disease; tobacco,0
207,cardiac troponins; cardiovascular disease; tobacco,0
208,cardiac troponins; cardiovascular disease; tobacco,1
209,cardiac troponins; cardiovascular disease; tobacco,1
210,cardiac troponins; cardiovascular disease; tobacco,1
211,cardiac troponins; cardiovascular disease; tobacco,1
212,cardiac troponins; cardiovascular disease; tobacco,1
213,cardiac troponins; cardiovascular disease; tobacco,1
214,cardiac troponins; cardiovascular disease; tobacco,1
215,cardiac troponins; cardiovascular disease; tobacco,0
216,cardiac troponins; cardiovascular disease; tobacco,1
217,cardiac troponins; cardiovascular disease; tobacco,0
218,cardiac troponins; cardiovascular disease; tobacco,0
219,cardiac troponins; cardiovascular disease; tobacco,1
220,cardiac troponins; cardiovascular disease; tobacco,1
221,cardiac troponins; cardiovascular disease; tobacco,1
222,cardiac troponins; cardiovascular disease; tobacco,0
223,cardiac troponins; cardiovascular disease; tobacco,0
224,cardiac troponins; cardiovascular disease; tobacco,0
225,cardiac troponins; cardiovascular disease; tobacco,1
226,cardiac troponins; cardiovascular disease; tobacco,0
227,cardiac troponins; cardiovascular disease; tobacco,0
228,cardiac troponins; cardiovascular disease; tobacco,1
229,cardiac troponins; cardiovascular disease; tobacco,1
230,cardiac troponins; cardiovascular disease; tobacco,0
231,cardiac troponins; cardiovascular disease; tobacco,0
232,cardiac troponins; cardiovascular disease; tobacco,1
233,cardiac troponins; cardiovascular disease; tobacco,1
234,cardiac troponins; cardiovascular disease; tobacco,0
235,cardiac troponins; cardiovascular disease; tobacco,0
236,cardiac troponins; cardiovascular disease; tobacco,0
237,cardiac troponins; cardiovascular disease; tobacco,1
238,cardiac troponins; cardiovascular disease; tobacco,1
239,cardiac troponins; cardiovascular disease; tobacco,1
240,cardiac troponins; cardiovascular disease; tobacco,0
241,cardiac troponins; cardiovascular disease; tobacco,1
242,cardiac troponins; cardiovascular disease; tobacco,1
243,cardiac troponins; cardiovascular disease; tobacco,1
244,cardiac troponins; cardiovascular disease; tobacco,0
245,cardiac troponins; cardiovascular disease; tobacco,1
246,cardiac troponins; cardiovascular disease; tobacco,0
247,cardiac troponins; cardiovascular disease; tobacco,1
248,cardiac troponins; cardiovascular disease; tobacco,0
249,cardiac troponins; cardiovascular disease; tobacco,1
250,cardiac troponins; cardiovascular disease; tobacco,0
251,cardiac troponins; cardiovascular disease; tobacco,1
252,cardiac troponins; cardiovascular disease; tobacco,1
253,cardiac troponins; cardiovascular disease; tobacco,0
254,cardiac troponins; cardiovascular disease; tobacco,1
255,cardiac troponins; cardiovascular disease; tobacco,1
256,cardiac troponins; cardiovascular disease; tobacco,0
257,cardiac troponins; cardiovascular disease; tobacco,0
258,cardiac troponins; cardiovascular disease; tobacco,0
259,cardiac troponins; cardiovascular disease; tobacco,0
260,cardiac troponins; cardiovascular disease; tobacco,0
261,cardiac troponins; cardiovascular disease; tobacco,0
262,cardiac troponins; cardiovascular disease; tobacco,1
263,cardiac troponins; cardiovascular disease; tobacco,0
264,cardiac troponins; cardiovascular disease; tobacco,1
265,cardiac troponins; cardiovascular disease; tobacco,1
266,cardiac troponins; cardiovascular disease; tobacco,1
267,cardiac troponins; cardiovascular disease; tobacco,0
268,cardiac troponins; cardiovascular disease; tobacco,0
269,cardiac troponins; cardiovascular disease; tobacco,1
270,cardiac troponins; cardiovascular disease; tobacco,1
271,cardiac troponins; cardiovascular disease; tobacco,0
272,cardiac troponins; cardiovascular disease; tobacco,0
273,cardiac troponins; cardiovascular disease; tobacco,1
274,cardiac troponins; cardiovascular disease; tobacco,1
275,cardiac troponins; cardiovascular disease; tobacco,0
276,cardiac troponins; cardiovascular disease; tobacco,1
277,cardiac troponins; cardiovascular disease; tobacco,0
278,cardiac troponins; cardiovascular disease; tobacco,1
279,cardiac troponins; cardiovascular disease; tobacco,1
280,cardiac troponins; cardiovascular disease; tobacco,1
281,cardiac troponins; cardiovascular disease; tobacco,0
282,cardiac troponins; cardiovascular disease; tobacco,1
283,cardiac troponins; cardiovascular disease; tobacco,1
284,cardiac troponins; cardiovascular disease; tobacco,0
285,cardiac troponins; cardiovascular disease; tobacco,1
286,cardiac troponins; cardiovascular disease; tobacco,1
287,cardiac troponins; cardiovascular disease; tobacco,0
288,cardiac troponins; cardiovascular disease; tobacco,1
289,cardiac troponins; cardiovascular disease; tobacco,1
290,cardiac troponins; cardiovascular disease; tobacco,1
291,cardiac troponins; cardiovascular disease; tobacco,1
292,cardiac troponins; cardiovascular disease; tobacco,1
293,cardiac troponins; cardiovascular disease; tobacco,1
294,cardiac troponins; cardiovascular disease; tobacco,0
295,cardiac troponins; cardiovascular disease; tobacco,1
296,cardiac troponins; cardiovascular disease; tobacco,0
297,cardiac troponins; cardiovascular disease; tobacco,0
298,cardiac troponins; cardiovascular disease; tobacco,1
299,cardiac troponins; cardiovascular disease; tobacco,0
300,cardiac troponins; cardiovascular disease; tobacco,0
301,cardiac troponins; cardiovascular disease; tobacco,1
302,cardiac troponins; cardiovascular disease; tobacco,0
303,cardiac troponins; cardiovascular disease; tobacco,0
304,cardiac troponins; cardiovascular disease; tobacco,1
305,cardiac troponins; cardiovascular disease; tobacco,0
306,cardiac troponins; cardiovascular disease; tobacco,0
307,cardiac troponins; cardiovascular disease; tobacco,0
308,cardiac troponins; cardiovascular disease; tobacco,1
309,cardiac troponins; cardiovascular disease; tobacco,1
310,cardiac troponins; cardiovascular disease; tobacco,0
311,cardiac troponins; cardiovascular disease; tobacco,1
312,cardiac troponins; cardiovascular disease; tobacco,1
313,cardiac troponins; cardiovascular disease; tobacco,1
314,cardiac troponins; cardiovascular disease; tobacco,0
315,cardiac troponins; cardiovascular disease; tobacco,0
316,cardiac troponins; cardiovascular disease; tobacco,0
317,cardiac troponins; cardiovascular disease; tobacco,0
318,cardiac troponins; cardiovascular disease; tobacco,0
319,cardiac troponins; cardiovascular disease; tobacco,1
320,cardiac troponins; cardiovascular disease; tobacco,0
321,cardiac troponins; cardiovascular disease; tobacco,0
322,cardiac troponins; cardiovascular disease; tobacco,0
323,cardiac troponins; cardiovascular disease; tobacco,1
324,cardiac troponins; cardiovascular disease; tobacco,1
325,cardiac troponins; cardiovascular disease; tobacco,1
326,cardiac troponins; cardiovascular disease; tobacco,0
327,cardiac troponins; cardiovascular disease; tobacco,1
328,cardiac troponins; cardiovascular disease; tobacco,1
329,cardiac troponins; cardiovascular disease; tobacco,1
330,cardiac troponins; cardiovascular disease; tobacco,1
331,cardiac troponins; cardiovascular disease; tobacco,0
332,cardiac troponins; cardiovascular disease; tobacco,0
333,cardiac troponins; cardiovascular disease; tobacco,0
334,cardiac troponins; cardiovascular disease; tobacco,1
335,cardiac troponins; cardiovascular disease; tobacco,0
336,cardiac troponins; cardiovascular disease; tobacco,0
337,cardiac troponins; cardiovascular disease; tobacco,0
338,cardiac troponins; cardiovascular disease; tobacco,0
339,cardiac troponins; cardiovascular disease; tobacco,0
340,cardiac troponins; cardiovascular disease; tobacco,0
341,cardiac troponins; cardiovascular disease; tobacco,1
342,cardiac troponins; cardiovascular disease; tobacco,0
343,cardiac troponins; cardiovascular disease; tobacco,1
344,cardiac troponins; cardiovascular disease; tobacco,0
345,cardiac troponins; cardiovascular disease; tobacco,1
346,cardiac troponins; cardiovascular disease; tobacco,0
347,cardiac troponins; cardiovascular disease; tobacco,1
348,cardiac troponins; cardiovascular disease; tobacco,0
349,cardiac troponins; cardiovascular disease; tobacco,0
350,cardiac troponins; cardiovascular disease; tobacco,1
351,cardiac troponins; cardiovascular disease; tobacco,0
352,cardiac troponins; cardiovascular disease; tobacco,1
353,cardiac troponins; cardiovascular disease; tobacco,1
354,cardiac troponins; cardiovascular disease; tobacco,1
355,cardiac troponins; cardiovascular disease; tobacco,0
356,cardiac troponins; cardiovascular disease; tobacco,0
357,cardiac troponins; cardiovascular disease; tobacco,0
358,cardiac troponins; cardiovascular disease; tobacco,1
359,cardiac troponins; cardiovascular disease; tobacco,0
360,cardiac troponins; cardiovascular disease; tobacco,0
361,cardiac troponins; cardiovascular disease; tobacco,1
362,cardiac troponins; cardiovascular disease; tobacco,0
363,cardiac troponins; cardiovascular disease; tobacco,0
364,cardiac troponins; cardiovascular disease; tobacco,1
365,cardiac troponins; cardiovascular disease; tobacco,1
366,cardiac troponins; cardiovascular disease; tobacco,0
367,cardiac troponins; cardiovascular disease; tobacco,1
368,cardiac troponins; cardiovascular disease; tobacco,1
369,cardiac troponins; cardiovascular disease; tobacco,0
370,cardiac troponins; cardiovascular disease; tobacco,0
371,cardiac troponins; cardiovascular disease; tobacco,0
372,cardiac troponins; cardiovascular disease; tobacco,0
373,cardiac troponins; cardiovascular disease; tobacco,0
374,cardiac troponins; cardiovascular disease; tobacco,1
375,cardiac troponins; cardiovascular disease; tobacco,1
376,cardiac troponins; cardiovascular disease; tobacco,0
377,cardiac troponins; cardiovascular disease; tobacco,1
378,cardiac troponins; cardiovascular disease; tobacco,1
379,cardiac troponins; cardiovascular disease; tobacco,1
380,cardiac troponins; cardiovascular disease; tobacco,1
381,cardiac troponins; cardiovascular disease; tobacco,1
382,cardiac troponins; cardiovascular disease; tobacco,1
383,cardiac troponins; cardiovascular disease; tobacco,0
384,cardiac troponins; cardiovascular disease; tobacco,0
385,cardiac troponins; cardiovascular disease; tobacco,0
386,cardiac troponins; cardiovascular disease; tobacco,1
387,cardiac troponins; cardiovascular disease; tobacco,1
388,cardiac troponins; cardiovascular disease; tobacco,0
389,cardiac troponins; cardiovascular disease; tobacco,0
390,cardiac troponins; cardiovascular disease; tobacco,1
391,cardiac troponins; cardiovascular disease; tobacco,1
392,cardiac troponins; cardiovascular disease; tobacco,1
393,cardiac troponins; cardiovascular disease; tobacco,0
394,cardiac troponins; cardiovascular disease; tobacco,0
395,cardiac troponins; cardiovascular disease; tobacco,1
396,cardiac troponins; cardiovascular disease; tobacco,0
397,cardiac troponins; cardiovascular disease; tobacco,0
398,cardiac troponins; cardiovascular disease; tobacco,1
399,cardiac troponins; cardiovascular disease; tobacco,0
400,cardiac troponins; cardiovascular disease; tobacco,1
401,cardiac troponins; cardiovascular disease; tobacco,0
402,cardiac troponins; cardiovascular disease; tobacco,1
403,cardiac troponins; cardiovascular disease; tobacco,1
404,cardiac troponins; cardiovascular disease; tobacco,0
405,cardiac troponins; cardiovascular disease; tobacco,1
406,cardiac troponins; cardiovascular disease; tobacco,0
407,cardiac troponins; cardiovascular disease; tobacco,1
408,cardiac troponins; cardiovascular disease; tobacco,1
409,cardiac troponins; cardiovascular disease; tobacco,0
410,cardiac troponins; cardiovascular disease; tobacco,0
411,cardiac troponins; cardiovascular disease; tobacco,0
412,cardiac troponins; cardiovascular disease; tobacco,1
413,cardiac troponins; cardiovascular disease; tobacco,0
414,cardiac troponins; cardiovascular disease; tobacco,0
415,cardiac troponins; cardiovascular disease; tobacco,1
416,cardiac troponins; cardiovascular disease; tobacco,0
417,cardiac troponins; cardiovascular disease; tobacco,1
418,cardiac troponins; cardiovascular disease; tobacco,1
419,cardiac troponins; cardiovascular disease; tobacco,1
420,cardiac troponins; cardiovascular disease; tobacco,0
421,cardiac troponins; cardiovascular disease; tobacco,1
422,cardiac troponins; cardiovascular disease; tobacco,1
423,cardiac troponins; cardiovascular disease; tobacco,0
424,cardiac troponins; cardiovascular disease; tobacco,1
425,cardiac troponins; cardiovascular disease; tobacco,0
426,cardiac troponins; cardiovascular disease; tobacco,0
427,cardiac troponins; cardiovascular disease; tobacco,0
428,cardiac troponins; cardiovascular disease; tobacco,1
429,cardiac troponins; cardiovascular disease; tobacco,0
430,cardiac troponins; cardiovascular disease; tobacco,1
431,cardiac troponins; cardiovascular disease; tobacco,0
432,cardiac troponins; cardiovascular disease; tobacco,1
433,cardiac troponins; cardiovascular disease; tobacco,1
434,cardiac troponins; cardiovascular disease; tobacco,0
435,cardiac troponins; cardiovascular disease; tobacco,0
436,cardiac troponins; cardiovascular disease; tobacco,0
437,cardiac troponins; cardiovascular disease; tobacco,1
438,cardiac troponins; cardiovascular disease; tobacco,1
439,cardiac troponins; cardiovascular disease; tobacco,0
440,cardiac troponins; cardiovascular disease; tobacco,0
441,cardiac troponins; cardiovascular disease; tobacco,1
442,cardiac troponins; cardiovascular disease; tobacco,0
443,cardiac troponins; cardiovascular disease; tobacco,1
444,cardiac troponins; cardiovascular disease; tobacco,0
445,cardiac troponins; cardiovascular disease; tobacco,0
446,cardiac troponins; cardiovascular disease; tobacco,0
447,cardiac troponins; cardiovascular disease; tobacco,1
448,cardiac troponins; cardiovascular disease; tobacco,1
449,cardiac troponins; cardiovascular disease; tobacco,1
450,cardiac troponins; cardiovascular disease; tobacco,0
451,cardiac troponins; cardiovascular disease; tobacco,1
452,cardiac troponins; cardiovascular disease; tobacco,0
453,cardiac troponins; cardiovascular disease; tobacco,1
454,cardiac troponins; cardiovascular disease; tobacco,0
455,cardiac troponins; cardiovascular disease; tobacco,1
456,cardiac troponins; cardiovascular disease; tobacco,1
457,cardiac troponins; cardiovascular disease; tobacco,0
458,cardiac troponins; cardiovascular disease; tobacco,0
459,cardiac troponins; cardiovascular disease; tobacco,0
460,cardiac troponins; cardiovascular disease; tobacco,0
461,cardiac troponins; cardiovascular disease; tobacco,1
462,cardiac troponins; cardiovascular disease; tobacco,0
463,cardiac troponins; cardiovascular disease; tobacco,0
464,cardiac troponins; cardiovascular disease; tobacco,0
465,cardiac troponins; cardiovascular disease; tobacco,1
466,cardiac troponins; cardiovascular disease; tobacco,0
467,cardiac troponins; cardiovascular disease; tobacco,1
468,cardiac troponins; cardiovascular disease; tobacco,0
469,cardiac troponins; cardiovascular disease; tobacco,1
470,cardiac troponins; cardiovascular disease; tobacco,1
471,cardiac troponins; cardiovascular disease; tobacco,0
472,cardiac troponins; cardiovascular disease; tobacco,1
473,cardiac troponins; cardiovascular disease; tobacco,1
474,cardiac troponins; cardiovascular disease; tobacco,0
475,cardiac troponins; cardiovascular disease; tobacco,0
476,cardiac troponins; cardiovascular disease; tobacco,0
477,cardiac troponins; cardiovascular disease; tobacco,0
478,cardiac troponins; cardiovascular disease; tobacco,1
479,cardiac troponins; cardiovascular disease; tobacco,0
480,cardiac troponins; cardiovascular disease; tobacco,0
481,cardiac troponins; cardiovascular disease; tobacco,1
482,cardiac troponins; cardiovascular disease; tobacco,1
483,cardiac troponins; cardiovascular disease; tobacco,0
484,cardiac troponins; cardiovascular disease; tobacco,1
485,cardiac troponins; cardiovascular disease; tobacco,0
486,cardiac troponins; cardiovascular disease; tobacco,0
487,cardiac troponins; cardiovascular disease; tobacco,1
488,cardiac troponins; cardiovascular disease; tobacco,0
489,cardiac troponins; cardiovascular disease; tobacco,1
490,cardiac troponins; cardiovascular disease; tobacco,1
491,cardiac troponins; cardiovascular disease; tobacco,0
492,cardiac troponins; cardiovascular disease; tobacco,0
493,cardiac troponins; cardiovascular disease; tobacco,0
494,cardiac troponins; cardiovascular disease; tobacco,1
495,cardiac troponins; cardiovascular disease; tobacco,1
496,cardiac troponins; cardiovascular disease; tobacco,0
497,cardiac troponins; cardiovascular disease; tobacco,0
498,cardiac troponins; cardiovascular disease; tobacco,0
499,cardiac troponins; cardiovascular disease; tobacco,0
500,cardiac troponins; cardiovascular disease; tobacco,1
501,cardiac troponins; cardiovascular disease; tobacco,1
502,cardiac troponins; cardiovascular disease; tobacco,0
503,cardiac troponins; cardiovascular disease; tobacco,0
504,cardiac troponins; cardiovascular disease; tobacco,1
505,cardiac troponins; cardiovascular disease; tobacco,0
506,cardiac troponins; cardiovascular disease; tobacco,0
507,cardiac troponins; cardiovascular disease; tobacco,1
508,cardiac troponins; cardiovascular disease; tobacco,0
509,cardiac troponins; cardiovascular disease; tobacco,1
510,cardiac troponins; cardiovascular disease; tobacco,0
511,cardiac troponins; cardiovascular disease; tobacco,0
512,cardiac troponins; cardiovascular disease; tobacco,0
513,cardiac troponins; cardiovascular disease; tobacco,0
514,cardiac troponins; cardiovascular disease; tobacco,0
515,cardiac troponins; cardiovascular disease; tobacco,0
516,cardiac troponins; cardiovascular disease; tobacco,1
517,cardiac troponins; cardiovascular disease; tobacco,0
518,cardiac troponins; cardiovascular disease; tobacco,1
519,cardiac troponins; cardiovascular disease; tobacco,0
520,cardiac troponins; cardiovascular disease; tobacco,0
521,cardiac troponins; cardiovascular disease; tobacco,1
522,cardiac troponins; cardiovascular disease; tobacco,1
523,cardiac troponins; cardiovascular disease; tobacco,0
524,cardiac troponins; cardiovascular disease; tobacco,1
525,cardiac troponins; cardiovascular disease; tobacco,1
526,cardiac troponins; cardiovascular disease; tobacco,1
527,cardiac troponins; cardiovascular disease; tobacco,0
528,cardiac troponins; cardiovascular disease; tobacco,0
529,cardiac troponins; cardiovascular disease; tobacco,0
530,cardiac troponins; cardiovascular disease; tobacco,0
531,cardiac troponins; cardiovascular disease; tobacco,0
532,cardiac troponins; cardiovascular disease; tobacco,1
533,cardiac troponins; cardiovascular disease; tobacco,1
534,cardiac troponins; cardiovascular disease; tobacco,1
535,cardiac troponins; cardiovascular disease; tobacco,1
